,dataset,method,mi,budget,epochs,start_0,start_1,final_0,final_1
0,manufacturing-sample,Temporal,0.05,1,2.09,149.0,2.0,147.54,3.46
1,manufacturing-sample,Static,0.05,1,4.42,149.0,2.0,114.25,36.75
2,manufacturing-sample,Temporal,0.1,1,2.18,149.0,2.0,146.08,4.92
3,manufacturing-sample,Static,0.1,1,2.29,149.0,2.0,148.61,2.39
4,manufacturing-sample,Temporal,0.15,1,2.18,149.0,2.0,146.07,4.93
5,manufacturing-sample,Static,0.15,1,2.19,149.0,2.0,148.81,2.19
6,manufacturing-sample,Temporal,0.2,1,2.0,149.0,2.0,149.0,2.0
7,manufacturing-sample,Static,0.2,1,2.15,149.0,2.0,148.85,2.15
8,manufacturing-sample,Temporal,0.25,1,2.15,149.0,2.0,147.95,3.05
9,manufacturing-sample,Static,0.25,1,2.2,149.0,2.0,148.79,2.21
10,manufacturing-sample,Temporal,0.5,1,2.0,149.0,2.0,149.0,2.0
11,manufacturing-sample,Static,0.5,1,2.18,149.0,2.0,148.81,2.19
12,manufacturing-sample,Temporal,0.05,5,4.07,143.0,8.0,110.79,40.21
13,manufacturing-sample,Static,0.05,5,6.64,143.0,8.0,13.53,137.47
14,manufacturing-sample,Temporal,0.1,5,2.54,143.0,8.0,134.58,16.42
15,manufacturing-sample,Static,0.1,5,3.34,143.0,8.0,134.73,16.27
16,manufacturing-sample,Temporal,0.15,5,2.26,143.0,8.0,138.8,12.2
17,manufacturing-sample,Static,0.15,5,2.62,143.0,8.0,142.14,8.86
18,manufacturing-sample,Temporal,0.2,5,2.63,143.0,8.0,133.19,17.81
19,manufacturing-sample,Static,0.2,5,2.58,143.0,8.0,142.33,8.67
20,manufacturing-sample,Temporal,0.25,5,2.11,143.0,8.0,142.19,8.81
21,manufacturing-sample,Static,0.25,5,2.53,143.0,8.0,142.28,8.72
22,manufacturing-sample,Temporal,0.5,5,2.0,143.0,8.0,143.0,8.0
23,manufacturing-sample,Static,0.5,5,2.43,143.0,8.0,142.47,8.53
24,manufacturing-sample,Temporal,0.05,15,8.55,128.0,23.0,28.09,122.91
25,manufacturing-sample,Static,0.05,15,5.15,128.0,23.0,10.97,140.03
26,manufacturing-sample,Temporal,0.1,15,4.54,128.0,23.0,88.24,62.76
27,manufacturing-sample,Static,0.1,15,6.2,128.0,23.0,12.29,138.71
28,manufacturing-sample,Temporal,0.15,15,3.68,128.0,23.0,103.14,47.86
29,manufacturing-sample,Static,0.15,15,4.54,128.0,23.0,99.11,51.89
30,manufacturing-sample,Temporal,0.2,15,3.13,128.0,23.0,111.7,39.3
31,manufacturing-sample,Static,0.2,15,3.01,128.0,23.0,125.65,25.35
32,manufacturing-sample,Temporal,0.25,15,3.29,128.0,23.0,110.64,40.36
33,manufacturing-sample,Static,0.25,15,2.87,128.0,23.0,126.37,24.63
34,manufacturing-sample,Temporal,0.5,15,2.0,128.0,23.0,128.0,23.0
35,manufacturing-sample,Static,0.5,15,2.83,128.0,23.0,126.39,24.61
36,manufacturing-sample,Temporal,0.05,25,8.71,113.0,38.0,15.31,135.69
37,manufacturing-sample,Static,0.05,25,4.73,113.0,38.0,9.76,141.24
38,manufacturing-sample,Temporal,0.1,25,6.94,113.0,38.0,43.0,108.0
39,manufacturing-sample,Static,0.1,25,5.03,113.0,38.0,9.76,141.24
40,manufacturing-sample,Temporal,0.15,25,6.07,113.0,38.0,58.11,92.89
41,manufacturing-sample,Static,0.15,25,5.85,113.0,38.0,13.15,137.85
42,manufacturing-sample,Temporal,0.2,25,4.33,113.0,38.0,83.12,67.88
43,manufacturing-sample,Static,0.2,25,6.08,113.0,38.0,63.39,87.61
44,manufacturing-sample,Temporal,0.25,25,4.5,113.0,38.0,79.04,71.96
45,manufacturing-sample,Static,0.25,25,3.11,113.0,38.0,109.87,41.13
46,manufacturing-sample,Temporal,0.5,25,2.0,113.0,38.0,113.0,38.0
47,manufacturing-sample,Static,0.5,25,2.86,113.0,38.0,110.97,40.03
48,manufacturing-sample,Temporal,0.05,50,8.34,75.0,76.0,7.68,143.32
49,manufacturing-sample,Static,0.05,50,4.23,75.0,76.0,6.53,144.47
50,manufacturing-sample,Temporal,0.1,50,8.14,75.0,76.0,8.32,142.68
51,manufacturing-sample,Static,0.1,50,4.24,75.0,76.0,6.68,144.32
52,manufacturing-sample,Temporal,0.15,50,7.64,75.0,76.0,10.39,140.61
53,manufacturing-sample,Static,0.15,50,4.22,75.0,76.0,7.54,143.46
54,manufacturing-sample,Temporal,0.2,50,7.22,75.0,76.0,17.42,133.58
55,manufacturing-sample,Static,0.2,50,4.53,75.0,76.0,7.51,143.49
56,manufacturing-sample,Temporal,0.25,50,6.53,75.0,76.0,28.23,122.77
57,manufacturing-sample,Static,0.25,50,5.08,75.0,76.0,8.22,142.78
58,manufacturing-sample,Temporal,0.5,50,2.0,75.0,76.0,75.0,76.0
59,manufacturing-sample,Static,0.5,50,2.99,75.0,76.0,71.99,79.01
