,dataset,method,epsilon,trials_nr,budget,epochs,start_A,start_B,final_A,final_B
0,manufacturing-sample,Temporal,0.005,1,1,55.0,149.0,2.0,147.47,3.53
1,manufacturing-sample,Static,0.005,1,1,54.82,149.0,2.0,146.57,4.43
2,manufacturing-sample,Temporal,0.01,1,1,54.45,149.0,2.0,142.44,8.56
3,manufacturing-sample,Static,0.01,1,1,54.91,149.0,2.0,139.63,11.37
4,manufacturing-sample,Temporal,0.025,1,1,53.35,149.0,2.0,111.92,39.08
5,manufacturing-sample,Static,0.025,1,1,53.55,149.0,2.0,91.2,59.8
6,manufacturing-sample,Temporal,0.05,1,1,53.02,149.0,2.0,41.13,109.87
7,manufacturing-sample,Static,0.05,1,1,53.26,149.0,2.0,32.85,118.15
8,manufacturing-sample,Temporal,0.1,1,1,50.14,149.0,2.0,22.8,128.2
9,manufacturing-sample,Static,0.1,1,1,51.45,149.0,2.0,18.68,132.32
10,manufacturing-sample,Temporal,0.005,1,5,55.0,143.0,8.0,138.76,12.24
11,manufacturing-sample,Static,0.005,1,5,55.0,143.0,8.0,138.04,12.96
12,manufacturing-sample,Temporal,0.01,1,5,55.0,143.0,8.0,129.13,21.87
13,manufacturing-sample,Static,0.01,1,5,55.0,143.0,8.0,123.27,27.73
14,manufacturing-sample,Temporal,0.025,1,5,55.0,143.0,8.0,82.93,68.07
15,manufacturing-sample,Static,0.025,1,5,55.0,143.0,8.0,68.28,82.72
16,manufacturing-sample,Temporal,0.05,1,5,55.0,143.0,8.0,20.29,130.71
17,manufacturing-sample,Static,0.05,1,5,55.0,143.0,8.0,11.41,139.59
18,manufacturing-sample,Temporal,0.1,1,5,55.0,143.0,8.0,3.06,147.94
19,manufacturing-sample,Static,0.1,1,5,55.0,143.0,8.0,2.5,148.5
20,manufacturing-sample,Temporal,0.005,1,15,55.0,128.0,23.0,122.89,28.11
21,manufacturing-sample,Static,0.005,1,15,55.0,128.0,23.0,120.27,30.73
22,manufacturing-sample,Temporal,0.01,1,15,55.0,128.0,23.0,108.41,42.59
23,manufacturing-sample,Static,0.01,1,15,55.0,128.0,23.0,103.92,47.08
24,manufacturing-sample,Temporal,0.025,1,15,55.0,128.0,23.0,59.75,91.25
25,manufacturing-sample,Static,0.025,1,15,55.0,128.0,23.0,47.88,103.12
26,manufacturing-sample,Temporal,0.05,1,15,55.0,128.0,23.0,16.01,134.99
27,manufacturing-sample,Static,0.05,1,15,55.0,128.0,23.0,10.95,140.05
28,manufacturing-sample,Temporal,0.1,1,15,55.0,128.0,23.0,2.79,148.21
29,manufacturing-sample,Static,0.1,1,15,55.0,128.0,23.0,1.99,149.01
30,manufacturing-sample,Temporal,0.005,1,25,55.0,113.0,38.0,107.57,43.43
31,manufacturing-sample,Static,0.005,1,25,55.0,113.0,38.0,104.74,46.26
32,manufacturing-sample,Temporal,0.01,1,25,55.0,113.0,38.0,92.6,58.4
33,manufacturing-sample,Static,0.01,1,25,55.0,113.0,38.0,87.72,63.28
34,manufacturing-sample,Temporal,0.025,1,25,55.0,113.0,38.0,49.94,101.06
35,manufacturing-sample,Static,0.025,1,25,55.0,113.0,38.0,36.27,114.73
36,manufacturing-sample,Temporal,0.05,1,25,55.0,113.0,38.0,11.73,139.27
37,manufacturing-sample,Static,0.05,1,25,55.0,113.0,38.0,10.3,140.7
38,manufacturing-sample,Temporal,0.1,1,25,55.0,113.0,38.0,2.4,148.6
39,manufacturing-sample,Static,0.1,1,25,55.0,113.0,38.0,2.06,148.94
40,manufacturing-sample,Temporal,0.005,1,50,55.0,75.0,76.0,73.52,77.48
41,manufacturing-sample,Static,0.005,1,50,55.0,75.0,76.0,71.22,79.78
42,manufacturing-sample,Temporal,0.01,1,50,55.0,75.0,76.0,62.99,88.01
43,manufacturing-sample,Static,0.01,1,50,55.0,75.0,76.0,59.18,91.82
44,manufacturing-sample,Temporal,0.025,1,50,55.0,75.0,76.0,30.57,120.43
45,manufacturing-sample,Static,0.025,1,50,55.0,75.0,76.0,22.86,128.14
46,manufacturing-sample,Temporal,0.05,1,50,55.0,75.0,76.0,8.8,142.2
47,manufacturing-sample,Static,0.05,1,50,55.0,75.0,76.0,5.98,145.02
48,manufacturing-sample,Temporal,0.1,1,50,55.0,75.0,76.0,1.71,149.29
49,manufacturing-sample,Static,0.1,1,50,55.0,75.0,76.0,1.07,149.93
